id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,recharge,countries
84,Peru 1GB,0,LATAM,2,1,7,esim_1GB_7D_PE_V2,12.00,9.00,5.17,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:54,\N,3,0,
85,Puerto Rico 1GB,0,LATAM,2,1,7,boricua-mobile-7days-1gb,4.50,3.10,1.70,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:55,\N,1,0,
86,British Virgin Islands 1GB,0,Caribbean,2,1,7,jost-mobile-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:38,\N,1,0,
87,Tonga 1GB,0,Oceania,2,1,7,tofua-mobile-7days-1gb,5.50,4.50,3.10,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:59,\N,1,0,
88,Turks & Caicos 1GB,0,Caribbean,2,1,7,tuca-mobile-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:59,\N,1,0,
89,Nicaragua 1GB,0,LATAM,2,1,7,esim_1GB_7D_NI_V2,12.00,9.00,6.90,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:52,\N,3,0,
90,Azerbaijan 1GB,0,Middle East,2,1,7,yaxsi-mobile-7days-1gb,7.00,5.40,3.80,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:36,\N,1,0,
91,Bahrain 1GB,0,Middle East,2,1,7,saar-mobile-7days-1gb,6.00,5.50,4.30,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:37,\N,1,0,
92,Dominica 1GB,0,Caribbean,2,1,7,vaina-communications-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:41,\N,1,0,
93,Brunei Darussalam 1GB,0,Middle East,2,1,7,esim_1GB_7D_BN_V2,9.00,8.00,8.06,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:38,\N,3,0,
94,Israel 1GB,0,Middle East,2,1,7,esim_1GB_7D_IL_V2,5.00,3.50,2.28,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:47,\N,3,0,
95,Montserrat 1GB,0,Caribbean,2,1,7,carrs-telecom-7days-1gb,10.00,9.00,7.70,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:52,\N,1,0,
96,Afghanistan 1GB,0,Middle East,2,1,7,sohbat-mobile-7days-1gb,8.00,6.50,4.50,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:34,\N,1,0,
97,Qatar 1GB,0,Middle East,2,1,7,pearl-mobile-7days-1gb,5.00,3.40,1.80,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:55,\N,1,0,
98,Armenia 1GB,0,Eastern Europe,2,1,7,esim_1GB_7D_AM_V2,9.50,7.50,5.17,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,3,0,
99,United Arab Emirates (UAE) 1GB,0,Middle East,2,1,7,esim_1GB_7D_AE_V2,6.00,3.50,2.05,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:59,\N,3,0,
