id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,countries,recharge
,Algeria 5GB,0,Africa,2,5,30,esim_5GB_30D_DZ_V2,40,34,30.5,0,0,0,,,,3,DZ,1
,Algeria 20GB,0,Africa,2,20,30,esim_20GB_30D_DZ_V2,140,120,100.37,0,0,0,,,,3,DZ,0
396,Algeria 10GB,0,Africa,2,10,30,algecom-30days-10gb,49,43.25,37.5,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,1,,0
143,Algeria 1GB,0,Africa,2,1,7,algecom-7days-1gb,7,5.5,4,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,1,,0
851,Algeria 2GB,0,Africa,2,2,15,algecom-15days-2gb,13,10.4,7.8,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,1,,0
154,Algeria 3GB,0,Africa,2,3,30,algecom-30days-3gb,17.5,14.55,11.6,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,1,,0
266,Algeria 5GB,0,Africa,2,5,30,algecom-30days-5gb,27,23,19,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,1,,0
852,Algeria UNL 10D,0,Africa,2,Unlimited,10,esim_UL_10D_DZ_V2,100,92,79.12,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
853,Algeria UNL 15D,0,Africa,2,Unlimited,15,esim_UL_15D_DZ_V2,135,128,118.45,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
854,Algeria UNL 1D,0,Africa,2,Unlimited,1,esim_UL_1D_DZ_V2,12,10,8.34,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
855,Algeria UNL 3D,0,Africa,2,Unlimited,3,esim_UL_3D_DZ_V2,32,29,24.07,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
856,Algeria UNL 5D,0,Africa,2,Unlimited,5,esim_UL_5D_DZ_V2,50,46,39.8,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
857,Algeria UNL 7D,0,Africa,2,Unlimited,7,esim_UL_7D_DZ_V2,70,65,55.53,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
858,Americas 10GB,0,LATAM,2,10,30,esim_10GB_30D_RLA_V2,40,35,22.04,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
859,Americas 1GB,0,LATAM,2,1,7,esim_1GB_7D_RLA_V2,5,4,2.95,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
860,Americas 20GB,0,LATAM,2,20,30,esim_20GB_30D_RLA_V2,60,52,39.37,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
861,Americas 2GB,0,LATAM,2,2,15,esim_2GB_15D_RLA_V2,10,7.25,5.42,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
862,Americas 3GB,0,LATAM,2,3,30,esim_3GB_30D_RLA_V2,15,12,7.48,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
863,Americas 50GB,0,LATAM,2,50,30,esim_50GB_30D_RLA_V2,120,100,88.87,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
864,Americas 5GB,0,LATAM,2,5,30,esim_5GB_30D_RLA_V2,20,17.5,12.14,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
865,Americas UNL 10D,0,LATAM,2,Unlimited,10,esim_UL_10D_RLA_V2,75,60,35.83,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
866,Americas UNL 15D,0,LATAM,2,Unlimited,15,esim_UL_15D_RLA_V2,95,75,53.51,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
867,Americas UNL 1D,0,LATAM,2,Unlimited,1,esim_UL_1D_RLA_V2,10,7,4.01,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
868,Americas UNL 30D,0,LATAM,2,Unlimited,30,esim_UL_30D_RLA_V2,140,120,106.55,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
869,Americas UNL 3D,0,LATAM,2,Unlimited,3,esim_UL_3D_RLA_V2,28,20,11.08,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
870,Americas UNL 5D,0,LATAM,2,Unlimited,5,esim_UL_5D_RLA_V2,35,26,18.15,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
871,Americas UNL 7D,0,LATAM,2,Unlimited,7,esim_UL_7D_RLA_V2,49,37.5,25.23,0,0,0,2024-04-09 16:49:35,2024-04-09 16:49:35,\N,3,,0
390,Andorra 10GB,0,Europe,2,10,30,handi-30days-10gb,25,19,13,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,1,,0
47,Andorra 1GB,0,Europe,2,1,7,handi-7days-1gb,4.5,3,1.5,0,0,0,2023-06-24 13:26:01,2024-04-09 16:49:35,\N,1,,0
617,Andorra 20GB,0,Europe,2,20,30,handi-30days-20gb,40,32,25,0,0,0,2023-09-04 16:50:30,2024-04-09 16:49:35,\N,1,,0
872,Andorra 2GB,0,Europe,2,2,15,handi-15days-2gb,8,5,2.9,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,1,,0
157,Andorra 3GB,0,Europe,2,3,30,handi-30days-3gb,10.5,8,4.2,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,1,,0
273,Andorra 5GB,0,Europe,2,5,30,handi-30days-5gb,15,12,7,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,1,,0
873,Andorra UNL 10D,0,Europe,2,Unlimited,10,esim_UL_10D_AD_V2,149,119,79.12,0,0,0,2024-04-09 16:49:36,2024-04-09 16:49:36,\N,3,,0
