id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,recharge_only,platinum_price,countries
103,Jordan 1GB,0,Middle East,2,1,7,esim_1GB_7D_JO_V2,7.50,6.00,4.59,0,0,0,26:01.6,07:21.7,\N,3,0,5.30,JOR
104,Bulgaria 1GB,0,Europe,2,1,7,esim_1GB_7D_BG_V2,5.00,2.50,1.45,0,0,0,26:01.6,07:21.7,\N,3,0,2.00,BGR
105,Uruguay 1GB,0,LATAM,2,1,7,esim_1GB_7D_UY_V2,8.00,6.00,3.34,0,0,0,26:01.6,07:21.7,\N,3,0,4.70,URY
106,Venezuela 1GB,0,LATAM,2,1,7,aragua-mobile-7days-1gb,9.50,8.00,5.70,0,0,0,26:01.6,07:21.7,\N,1,0,6.90,VEN
107,Cyprus 1GB,0,Europe,2,1,7,esim_1GB_7D_CY_V2,5.00,2.50,1.45,0,0,0,26:01.6,07:21.7,\N,3,0,2.00,CYP
108,Saudi Arabia 1GB,0,Middle East,2,1,7,red-sand-7days-1gb,5.00,3.60,2.20,0,0,0,26:01.6,07:21.7,\N,1,0,2.90,SAU
109,Denmark 1GB,0,Europe,2,1,7,esim_1GB_7D_DK_V2,5.00,2.50,1.36,0,0,0,26:01.6,07:21.7,\N,3,0,2.00,DNK
110,Estonia 1GB,0,Europe,2,1,7,esim_1GB_7D_EE_V2,5.00,2.50,1.45,0,0,0,26:01.6,07:21.7,\N,3,0,2.00,EST
111,Finland 1GB,0,Europe,2,1,7,esim_1GB_7D_FI_V2,5.00,2.50,1.45,0,0,0,26:01.6,07:21.7,\N,3,0,2.00,FIN
112,Kuwait 1GB,0,Middle East,2,1,7,liberation-mobile-7days-1gb,4.50,3.00,1.80,0,0,0,26:01.6,07:21.7,\N,1,0,2.40,KWT
113,Argentina 1GB,0,LATAM,2,1,7,esim_1GB_7D_AR_V2,6.50,5.00,3.34,0,0,0,26:01.6,07:21.7,\N,3,0,4.20,ARG
114,Chad 1GB,0,Africa,2,1,7,first-well-7days-1gb,7.00,6.00,5.00,0,0,0,26:01.6,07:21.7,\N,1,0,5.50,TCD
115,Czech Republic 1GB,0,Europe,2,1,7,esim_1GB_7D_CZ_V2,5.00,2.50,1.45,0,0,0,26:01.6,07:21.7,\N,3,0,2.00,CZE
116,Chile  1GB,0,LATAM,2,1,7,esim_1GB_7D_CL_V2,6.50,5.00,3.34,0,0,0,26:01.6,07:21.7,\N,3,0,4.20,CHL
117,Brazil 1GB,0,LATAM,2,1,7,esim_1GB_7D_BR_V2,6.50,5.00,3.34,0,0,0,26:01.6,07:21.7,\N,3,0,4.20,BRA
118,France 1GB,0,Europe,2,1,7,esim_1GB_7D_FR_V2,5.00,2.50,1.36,0,0,0,26:01.6,07:21.7,\N,3,0,2.00,FRA
119,Bosnia and Herzegovina 1GB,0,Europe,2,1,7,bosher-7days-1gb,5.00,3.50,1.60,0,0,0,26:01.6,07:21.7,\N,1,0,2.60,BIH
120,Belgium 1GB,0,Europe,2,1,7,esim_1GB_7D_BE_V2,5.00,2.50,1.45,0,0,0,26:01.6,07:21.7,\N,3,0,2.00,BEL
121,Gibraltar 1GB,0,Europe,2,1,7,gibnet-7days-1gb,5.00,3.50,2.60,0,0,0,26:01.7,07:21.7,\N,1,0,3.10,GIB
122,DRC 1GB,0,Africa,2,1,7,pondu-mobile-7days-1gb,6.50,5.00,4.00,0,0,0,26:01.7,07:21.7,\N,1,0,4.50,COD
123,Oman 1GB,0,Middle East,2,1,7,omancom-7days-1gb,4.50,3.50,2.00,0,0,0,26:01.7,07:21.7,\N,1,0,2.80,OMN
124,Guatemala 1GB,0,LATAM,2,1,7,tikal-mobile-7days-1gb,6.50,5.50,4.50,0,0,0,26:01.7,07:21.7,\N,1,0,5.00,GTM
125,Ecuador 1GB,0,LATAM,2,1,7,esim_1GB_7D_EC_V2,6.50,5.00,3.34,0,0,0,26:01.7,07:21.7,\N,3,0,4.20,ECU
126,Bolivia 1GB,0,LATAM,2,1,7,wa-mobile-7days-1gb,8.50,7.50,6.10,0,0,0,26:01.7,07:21.7,\N,1,0,6.80,BOL
127,Germany 1GB,0,Europe,2,1,7,esim_1GB_7D_DE_V2,5.00,2.50,1.45,0,0,0,26:01.7,07:21.7,\N,3,0,2.00,DEU
128,Costa Rica 1GB,0,LATAM,2,1,7,esim_1GB_7D_CR_V2,6.50,5.00,3.34,0,0,0,26:01.7,07:21.7,\N,3,0,4.20,CRI
129,Albania 1GB,0,Eastern Europe,2,1,7,esim_1GB_7D_AL_V2,4.50,3.75,2.63,0,0,0,26:01.7,07:21.7,\N,3,0,3.20,ALB
130,China 1GB,0,Asia,2,1,7,chinacom-7days-1gb,5.00,4.00,2.70,0,0,0,26:01.7,07:21.7,\N,1,0,3.40,CHN
131,Europe Plus 1GB,0,Europe,2,1,7,esim_1GB_7D_REUP_V2,5.00,2.50,1.59,0,0,1,26:01.7,07:21.7,\N,3,0,2.10,"AUT, BEL, BGR, HRV, CYP, CZE, DNK, LVA, LIE, LTU, LUX, MLT, NLD, NOR, TUR, GBR, VAT, IC, POL, PRT, ROU, SVK, SVN, ESP, SWE, CHE, EST, FIN, FRA, DEU, GRC, HUN, ISL, IRL, ITA"
132,Uzbekistan 1GB,0,Asia,2,1,7,uzbeknet-7days-1gb,4.50,3.00,1.80,0,0,0,26:01.7,07:21.7,\N,1,0,2.40,UZB
133,Honduras 1GB,0,LATAM,2,1,7,honnet-7days-1gb,7.00,6.00,4.90,0,0,0,26:01.7,07:21.7,\N,1,0,5.50,HND
134,Kosovo 1GB,0,Europe,2,1,7,kosnet-7days-1gb,6.50,5.00,3.30,0,0,0,26:01.7,07:21.7,\N,1,0,4.20,XKX
135,Croatia 1GB,0,Europe,2,1,7,esim_1GB_7D_HR_V2,5.00,2.50,1.45,0,0,0,26:01.7,07:21.7,\N,3,0,2.00,HRV
136,Mozambique 1GB,0,Africa,2,1,7,comemoro-7days-1gb,10.00,8.00,6.80,0,0,0,26:01.7,07:21.7,\N,1,0,7.40,MOZ
137,Anguilla 1GB,0,Caribbean,2,1,7,esim_1GB_7D_AI_V2,12.00,10.00,7.46,0,0,0,26:01.7,07:21.7,\N,3,0,8.80,AIA
138,Colombia  1GB,0,LATAM,2,1,7,esim_1GB_7D_CO_V2,6.50,5.00,3.34,0,0,0,26:01.7,07:21.7,\N,3,0,4.20,COL
139,USA 1GB,0,North America,2,1,7,esim_1GB_7D_US_V2,5.00,3.00,1.78,0,0,0,26:01.7,07:21.7,\N,3,0,2.40,USA
140,Slovakia 1GB,0,Eastern Europe,2,1,7,esim_1GB_7D_SK_V2,5.00,2.50,1.45,0,0,0,26:01.7,07:21.7,\N,3,0,2.00,SVK
141,New Zealand 1GB,0,Oceania,2,1,7,esim_1GB_7D_NZ_V2,5.50,4.50,3.34,0,0,0,26:01.7,07:21.7,\N,3,0,4.00,NZL
142,Singapore 1GB,0,Asia,2,1,7,esim_1GB_7D_SG_V2,5.00,3.50,2.05,0,0,0,26:01.7,07:21.7,\N,3,0,2.80,SGP
143,Algeria 1GB,0,Africa,2,1,7,algecom-7days-1gb,7.50,5.50,4.00,0,0,0,26:01.7,07:21.7,\N,1,0,4.80,DZA
144,Egypt 1GB,0,Africa,2,1,7,esim_1GB_7D_EG_V2,7.50,5.50,3.55,0,0,0,26:01.7,07:21.7,\N,3,0,4.60,EGY
145,Congo 1GB,0,Africa,2,1,7,sanghatel-7days-1gb,7.50,6.25,5.10,0,0,0,26:01.7,07:21.7,\N,1,0,5.70,COG
146,Montenegro 1GB,0,Europe,2,1,7,jezero-7days-1gb,4.50,3.00,2.00,0,0,0,26:01.7,07:21.7,\N,1,0,2.50,MNE
147,Argentina 3GB,0,LATAM,2,3,30,esim_3GB_30D_AR_V2,21.50,15.00,8.45,0,0,0,26:01.8,07:21.7,\N,3,0,11.80,ARG
148,Armenia 3GB,0,Eastern Europe,2,3,30,esim_3GB_30D_AM_V2,25.00,17.50,13.62,0,0,0,26:01.8,07:21.7,\N,3,0,15.60,ARM
149,Asia 1GB,0,Asia,2,1,7,esim_1GB_7D_RAS_V2,5.00,4.00,2.96,0,0,1,26:01.8,07:21.7,\N,3,0,3.50,"AUS, PRK, MAC, MYS, PAK, SGP, LKA, TWN, THA, HKG, IDN, UZB, VNM"
150,Australia 3GB,0,Oceania,2,3,30,esim_3GB_30D_AU_V2,10.00,6.50,4.14,0,0,0,26:01.8,07:21.7,\N,3,0,5.40,AUS
151,Austria 3GB,0,Europe,2,3,30,esim_3GB_30D_AT_V2,10.00,5.00,2.83,0,0,0,26:01.8,07:21.7,\N,3,0,4.00,AUT
152,Azerbaijan 3GB,0,Middle East,2,3,30,yaxsi-mobile-30days-3gb,17.50,14.30,11.10,0,0,0,26:01.8,07:21.7,\N,1,0,12.70,AZE
153,Central African Republic 1GB,0,Africa,2,1,7,esim_1GB_7D_CF_V2,15.00,12.00,10.37,0,0,0,26:01.8,07:21.7,\N,3,0,11.20,CAF
